property_id,anaytic_type_id,value
1,1,17
2,1,21
3,1,29
4,1,16
5,1,17
6,1,15
7,1,21
8,1,10
9,1,14
10,1,24
11,1,26
12,1,12
13,1,22
14,1,22
15,1,34
16,1,10
17,1,34
18,1,34
19,1,17
20,1,28
21,1,11
22,1,22
23,1,30
24,1,11
25,1,35
26,1,11
27,1,37
28,1,13
29,1,38
30,1,29
31,1,34
32,1,28
33,1,17
34,1,11
35,1,12
36,1,20
37,1,39
38,1,17
39,1,35
40,1,28
41,1,31
42,1,19
43,1,13
44,1,25
45,1,39
46,1,22
47,1,17
48,1,17
49,1,27
50,1,25
51,1,39
52,1,20
53,1,23
54,1,15
55,1,39
56,1,27
57,1,36
58,1,31
59,1,17
60,1,33
61,1,14
62,1,13
63,1,26
64,1,10
65,1,34
66,1,23
67,1,16
68,1,18
69,1,15
70,1,18
71,1,18
72,1,23
73,1,36
74,1,34
75,1,23
76,1,29
77,1,32
78,1,33
79,1,36
80,1,37
81,1,22
82,1,12
83,1,16
84,1,9
85,1,9
86,1,20
87,1,14
88,1,15
89,1,17
90,1,15
91,1,10
92,1,22
93,1,21
94,1,16
95,1,11
96,1,33
97,1,36
98,1,34
99,1,13
100,1,33
2,2,340
3,2,823
4,2,821
6,2,1095
8,2,1101
9,2,970
10,2,1049
12,2,184
14,2,192
15,2,939
16,2,745
18,2,749
20,2,428
21,2,277
22,2,1103
24,2,544
26,2,778
27,2,234
28,2,395
30,2,784
32,2,247
33,2,959
34,2,738
36,2,559
38,2,599
39,2,383
40,2,282
42,2,309
44,2,410
45,2,190
46,2,594
48,2,228
50,2,284
51,2,758
52,2,503
54,2,672
56,2,714
57,2,896
58,2,801
60,2,1067
62,2,1016
63,2,918
64,2,535
66,2,970
68,2,1004
69,2,238
70,2,296
72,2,663
74,2,1034
75,2,318
76,2,301
78,2,779
80,2,225
81,2,839
82,2,349
84,2,567
86,2,430
87,2,626
88,2,812
90,2,960
92,2,815
93,2,1078
94,2,605
96,2,313
98,2,716
99,2,426
100,2,577
2,3,1.270018421451
4,3,3.02554390425922
6,3,2.63667691804908
8,3,3.34638761383774
10,3,2.85946874448447
12,3,1.07455818832434
14,3,2.93233884099814
16,3,2.08758436325617
18,3,3.40851708259508
20,3,0.861759136359483
22,3,1.54152511679388
24,3,3.29812705399504
26,3,1.22639999511863
28,3,1.86537956497071
30,3,3.17141275022874
32,3,2.03504700401259
34,3,2.09978462447799
36,3,1.94359942478887
38,3,0.719948632353141
40,3,2.55339132447577
42,3,1.74514087354835
44,3,2.52377120121313
46,3,3.33205801613017
48,3,1.81493301369798
50,3,2.354128601899
52,3,1.29475594364735
54,3,2.00803578247901
56,3,1.99181645854951
58,3,1.38718701818959
60,3,3.41210137589376
62,3,2.10143755360922
64,3,1.69779214431758
66,3,1.07272036989671
68,3,1.89646034528337
70,3,1.59923758014031
72,3,2.24741182410057
74,3,1.85165334715295
76,3,2.29043534100455
78,3,3.17278354166389
80,3,1.5301314232142
82,3,2.03650137252948
84,3,0.628650031117029
86,3,0.961903239505828
88,3,2.70683468642116
90,3,0.740960349788634
92,3,0.722688917506204
94,3,1.34368791736724
96,3,2.43551453556817
98,3,2.5791942343968
100,3,2.50976993268386